CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,FIRST_NAME,GENDER_TOTAL_COUNT,GENDER_TOTAL_PERCENTAGE,GENDER_TOTAL_RANK,MEN+_COUNT,MEN+_PERCENTAGE,MEN+_RANK,MEN+_SYMBOL,WOMEN+_COUNT,WOMEN+_PERCENTAGE,WOMEN+_RANK,WOMEN+_SYMBOL
2021,"2021A000011124","01","Country","Canada","AADEN",500,0.0017,5869,465,0.0031,2789,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","AAKASH",365,0.0012,7283,365,0.0025,3300,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","AALIYAH",3250,0.0109,1416,,,,"...",3225,0.0216,758,""
2021,"2021A000011124","01","Country","Canada","AAMIR",785,0.0026,4121,720,0.0048,2002,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","AANYA",420,0.0014,6610,,,,"...",420,0.0028,3633,""
2021,"2021A000011124","01","Country","Canada","AARAV",1705,0.0057,2293,1675,0.0113,1007,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","AARIZ",335,0.0011,7742,330,0.0022,3564,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","AARNA",280,0.0009,8758,,,,"...",280,0.0019,4898,""
2021,"2021A000011124","01","Country","Canada","AARON",34245,0.1149,174,33880,0.2279,91,"",370,0.0025,4004,""
2021,"2021A000011124","01","Country","Canada","AARTI",495,0.0017,5907,,,,"...",460,0.0031,3382,""
2021,"2021A000011124","01","Country","Canada","AARUSH",390,0.0013,6987,390,0.0026,3138,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","AARYA",470,0.0016,6111,,,,"...",405,0.0027,3739,""
2021,"2021A000011124","01","Country","Canada","AARYAN",625,0.0021,4933,580,0.0039,2356,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","AAYAN",820,0.0028,3987,745,0.005,1937,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","AAYUSH",310,0.001,8181,310,0.0021,3729,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABAGAIL",350,0.0012,7507,,,,"...",335,0.0022,4298,""
2021,"2021A000011124","01","Country","Canada","ABBAS",1985,0.0067,2039,1895,0.0127,915,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABBEY",1865,0.0063,2138,,,,"...",1795,0.012,1147,""
2021,"2021A000011124","01","Country","Canada","ABBIE",1115,0.0037,3119,,,,"...",1065,0.0071,1700,""
2021,"2021A000011124","01","Country","Canada","ABBIGAIL",870,0.0029,3808,,,,"...",870,0.0058,2012,""
2021,"2021A000011124","01","Country","Canada","ABBY",6155,0.0207,903,,,,"...",6060,0.0406,468,""
2021,"2021A000011124","01","Country","Canada","ABBYGAIL",450,0.0015,6298,,,,"...",450,0.003,3440,""
2021,"2021A000011124","01","Country","Canada","ABD",315,0.0011,8080,295,0.002,3883,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDALLA",500,0.0017,5869,470,0.0032,2768,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDALLAH",1275,0.0043,2819,1240,0.0083,1297,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDEL",1060,0.0036,3240,1020,0.0069,1521,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDELAZIZ",565,0.0019,5345,555,0.0037,2438,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDELHAK",255,0.0009,9306,260,0.0017,4270,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDELHAKIM",265,0.0009,9108,265,0.0018,4207,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDELHAMID",340,0.0011,7662,335,0.0023,3520,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDELKADER",665,0.0022,4676,665,0.0045,2126,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDELKRIM",435,0.0015,6448,435,0.0029,2921,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDELLAH",510,0.0017,5792,505,0.0034,2614,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDELLATIF",365,0.0012,7283,370,0.0025,3264,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDELRAHMAN",480,0.0016,6023,475,0.0032,2741,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDERRAHIM",485,0.0016,5985,485,0.0033,2699,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDERRAHMANE",605,0.002,5053,605,0.0041,2280,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDI",915,0.0031,3667,770,0.0052,1897,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDIRAHMAN",735,0.0025,4357,710,0.0048,2020,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDOOL",275,0.0009,8885,270,0.0018,4148,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDOUL",405,0.0014,6789,405,0.0027,3064,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDOULAYE",560,0.0019,5382,560,0.0038,2421,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDUL",8555,0.0287,699,8450,0.0568,332,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDULAZIZ",520,0.0017,5720,520,0.0035,2561,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDULKADIR",330,0.0011,7827,320,0.0022,3650,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDULLA",390,0.0013,6987,355,0.0024,3358,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDULLAH",4925,0.0165,1033,4880,0.0328,469,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDULLAHI",750,0.0025,4297,720,0.0048,2002,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDULRAHMAN",1265,0.0042,2832,1255,0.0084,1285,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDUR",340,0.0011,7662,315,0.0021,3697,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABDURRAHMAN",270,0.0009,9003,270,0.0018,4148,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABE",1030,0.0035,3322,985,0.0066,1566,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABED",315,0.0011,8080,300,0.002,3825,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABEER",1120,0.0038,3111,275,0.0018,4079,"",840,0.0056,2070,""
2021,"2021A000011124","01","Country","Canada","ABEGAIL",280,0.0009,8758,,,,"...",275,0.0018,4962,""
2021,"2021A000011124","01","Country","Canada","ABEL",2690,0.009,1645,2605,0.0175,730,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABHAY",390,0.0013,6987,390,0.0026,3138,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABHIJIT",255,0.0009,9306,255,0.0017,4330,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABHINAV",725,0.0024,4404,725,0.0049,1990,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABHISHEK",1820,0.0061,2185,1820,0.0122,934,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABI",255,0.0009,9306,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABID",635,0.0021,4862,605,0.0041,2280,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABIDA",540,0.0018,5548,,,,"...",530,0.0035,3025,""
2021,"2021A000011124","01","Country","Canada","ABIGAEL",1025,0.0034,3332,,,,"...",995,0.0067,1790,""
2021,"2021A000011124","01","Country","Canada","ABIGAELLE",1045,0.0035,3278,,,,"...",1035,0.0069,1731,""
2021,"2021A000011124","01","Country","Canada","ABIGAIL",22345,0.075,280,,,,"...",22250,0.149,136,""
2021,"2021A000011124","01","Country","Canada","ABIGALE",495,0.0017,5907,,,,"...",490,0.0033,3240,""
2021,"2021A000011124","01","Country","Canada","ABIGAYLE",550,0.0018,5458,,,,"...",545,0.0037,2955,""
2021,"2021A000011124","01","Country","Canada","ABIMBOLA",300,0.001,8358,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABIODUN",270,0.0009,9003,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABIOLA",310,0.001,8181,,,,"...",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABIR",855,0.0029,3849,,,,"...",645,0.0043,2556,""
2021,"2021A000011124","01","Country","Canada","ABNER",505,0.0017,5826,465,0.0031,2789,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABRAHAM",4470,0.015,1121,4355,0.0293,508,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABRAM",1895,0.0064,2112,1850,0.0124,924,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABRAR",545,0.0018,5503,375,0.0025,3229,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABRIELLE",270,0.0009,9003,,,,"...",265,0.0018,5120,""
2021,"2021A000011124","01","Country","Canada","ABU",655,0.0022,4739,605,0.0041,2280,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABUBAKAR",310,0.001,8181,300,0.002,3825,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABUL",280,0.0009,8758,265,0.0018,4207,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","ABY",375,0.0013,7153,,,,"...",285,0.0019,4835,""
2021,"2021A000011124","01","Country","Canada","ABYGAEL",390,0.0013,6987,,,,"...",390,0.0026,3860,""
2021,"2021A000011124","01","Country","Canada","ABYGAELLE",630,0.0021,4897,,,,"...",630,0.0042,2625,""
